document_id,applicant_id,document_type,filename,file_path,file_format,scenario
DOC_A001_PAYSLIP,A001,payslip,01_payslip.txt,data/applicants/A001/01_payslip.txt,txt,normal
DOC_A001_BANK_STATEMENT,A001,bank_statement,02_bank_statement.txt,data/applicants/A001/02_bank_statement.txt,txt,normal
DOC_A001_TAX_RETURN,A001,tax_return,03_tax_return.txt,data/applicants/A001/03_tax_return.txt,txt,normal
DOC_A001_KYC,A001,kyc,04_kyc.txt,data/applicants/A001/04_kyc.txt,txt,normal
DOC_A002_PAYSLIP,A002,payslip,01_payslip.txt,data/applicants/A002/01_payslip.txt,txt,normal
DOC_A002_BANK_STATEMENT,A002,bank_statement,02_bank_statement.txt,data/applicants/A002/02_bank_statement.txt,txt,normal
DOC_A002_TAX_RETURN,A002,tax_return,03_tax_return.txt,data/applicants/A002/03_tax_return.txt,txt,normal
DOC_A002_KYC,A002,kyc,04_kyc.txt,data/applicants/A002/04_kyc.txt,txt,normal
DOC_A003_PAYSLIP,A003,payslip,01_payslip.txt,data/applicants/A003/01_payslip.txt,txt,missing_tax_return
DOC_A003_BANK_STATEMENT,A003,bank_statement,02_bank_statement.txt,data/applicants/A003/02_bank_statement.txt,txt,missing_tax_return
DOC_A003_KYC,A003,kyc,04_kyc.txt,data/applicants/A003/04_kyc.txt,txt,missing_tax_return
DOC_A004_PAYSLIP,A004,payslip,01_payslip.txt,data/applicants/A004/01_payslip.txt,txt,bank_income_mismatch
DOC_A004_BANK_STATEMENT,A004,bank_statement,02_bank_statement.txt,data/applicants/A004/02_bank_statement.txt,txt,bank_income_mismatch
DOC_A004_TAX_RETURN,A004,tax_return,03_tax_return.txt,data/applicants/A004/03_tax_return.txt,txt,bank_income_mismatch
DOC_A004_KYC,A004,kyc,04_kyc.txt,data/applicants/A004/04_kyc.txt,txt,bank_income_mismatch
DOC_A005_PAYSLIP,A005,payslip,01_payslip.txt,data/applicants/A005/01_payslip.txt,txt,payslip_income_mismatch
DOC_A005_BANK_STATEMENT,A005,bank_statement,02_bank_statement.txt,data/applicants/A005/02_bank_statement.txt,txt,payslip_income_mismatch
DOC_A005_TAX_RETURN,A005,tax_return,03_tax_return.txt,data/applicants/A005/03_tax_return.txt,txt,payslip_income_mismatch
DOC_A005_KYC,A005,kyc,04_kyc.txt,data/applicants/A005/04_kyc.txt,txt,payslip_income_mismatch
DOC_A006_PAYSLIP,A006,payslip,01_payslip.txt,data/applicants/A006/01_payslip.txt,txt,kyc_name_mismatch
DOC_A006_BANK_STATEMENT,A006,bank_statement,02_bank_statement.txt,data/applicants/A006/02_bank_statement.txt,txt,kyc_name_mismatch
DOC_A006_TAX_RETURN,A006,tax_return,03_tax_return.txt,data/applicants/A006/03_tax_return.txt,txt,kyc_name_mismatch
DOC_A006_KYC,A006,kyc,04_kyc.txt,data/applicants/A006/04_kyc.txt,txt,kyc_name_mismatch
DOC_A007_PAYSLIP,A007,payslip,01_payslip.txt,data/applicants/A007/01_payslip.txt,txt,tax_income_mismatch
DOC_A007_BANK_STATEMENT,A007,bank_statement,02_bank_statement.txt,data/applicants/A007/02_bank_statement.txt,txt,tax_income_mismatch
DOC_A007_TAX_RETURN,A007,tax_return,03_tax_return.txt,data/applicants/A007/03_tax_return.txt,txt,tax_income_mismatch
DOC_A007_KYC,A007,kyc,04_kyc.txt,data/applicants/A007/04_kyc.txt,txt,tax_income_mismatch
DOC_A008_PAYSLIP,A008,payslip,01_payslip.txt,data/applicants/A008/01_payslip.txt,txt,multiple_issues
DOC_A008_BANK_STATEMENT,A008,bank_statement,02_bank_statement.txt,data/applicants/A008/02_bank_statement.txt,txt,multiple_issues
DOC_A008_TAX_RETURN,A008,tax_return,03_tax_return.txt,data/applicants/A008/03_tax_return.txt,txt,multiple_issues
DOC_A008_KYC,A008,kyc,04_kyc.txt,data/applicants/A008/04_kyc.txt,txt,multiple_issues
DOC_A009_PAYSLIP,A009,payslip,01_payslip.txt,data/applicants/A009/01_payslip.txt,txt,missing_bank_statement
DOC_A009_TAX_RETURN,A009,tax_return,03_tax_return.txt,data/applicants/A009/03_tax_return.txt,txt,missing_bank_statement
DOC_A009_KYC,A009,kyc,04_kyc.txt,data/applicants/A009/04_kyc.txt,txt,missing_bank_statement
DOC_A010_PAYSLIP,A010,payslip,01_payslip.txt,data/applicants/A010/01_payslip.txt,txt,normal
DOC_A010_BANK_STATEMENT,A010,bank_statement,02_bank_statement.txt,data/applicants/A010/02_bank_statement.txt,txt,normal
DOC_A010_TAX_RETURN,A010,tax_return,03_tax_return.txt,data/applicants/A010/03_tax_return.txt,txt,normal
DOC_A010_KYC,A010,kyc,04_kyc.txt,data/applicants/A010/04_kyc.txt,txt,normal
